ds,Weather,Bargain,y,Closed,Holiday
1990-01-05,0.0,0.0,58507.0,0,0
1990-01-06,0.0,0.0,49088.0,0,0
1990-01-07,0.0,0.0,50066.0,0,0
1990-01-08,0.0,0.0,45954.0,0,0
1990-01-09,0.0,0.0,66422.0,0,0
1990-01-10,1.0,1.0,122356.0,0,0
1990-01-11,0.0,1.0,100184.0,0,0
1990-01-12,0.0,1.0,57033.0,0,0
1990-01-13,1.0,1.0,55085.0,0,0
1990-01-14,0.0,0.0,52429.0,0,0
1990-01-15,0.0,0.0,64338.0,0,1
1990-01-16,1.0,0.0,36599.0,0,0
1990-01-17,0.0,0.0,61861.0,0,0
1990-01-18,0.0,0.0,0.0,1,0
1990-01-19,1.0,0.0,40686.0,0,0
1990-01-20,0.0,0.0,67181.0,0,0
1990-01-21,0.0,0.0,70232.0,0,0
1990-01-22,0.0,0.0,74766.0,0,0
1990-01-23,0.0,0.0,65169.0,0,0
1990-01-24,0.0,0.0,45599.0,0,0
1990-01-25,0.0,1.0,102235.0,0,0
1990-01-26,0.0,1.0,104069.0,0,0
1990-01-27,0.0,1.0,81108.0,0,0
1990-01-28,0.0,1.0,61321.0,0,0
1990-01-29,1.0,0.0,52041.0,0,0
1990-01-30,0.0,0.0,49100.0,0,0
1990-01-31,0.0,0.0,0.0,1,0
1990-02-01,0.0,0.0,0.0,1,0
1990-02-02,0.0,0.0,60287.0,0,0
1990-02-03,1.0,0.0,46076.0,0,0
1990-02-04,0.0,0.0,0.0,1,0
1990-02-05,0.0,0.0,56333.0,0,0
1990-02-06,0.0,0.0,59983.0,0,0
1990-02-07,0.0,0.0,0.0,1,0
1990-02-08,0.0,0.0,0.0,1,0
1990-02-09,0.0,0.0,0.0,1,0
1990-02-10,0.0,0.0,0.0,1,0
1990-02-11,1.0,0.0,33720.0,0,1
1990-02-12,0.0,0.0,63626.0,0,1
1990-02-13,0.0,0.0,48788.0,0,0
1990-02-14,1.0,0.0,35335.0,0,0
1990-02-15,1.0,0.0,45632.0,0,0
1990-02-16,1.0,0.0,40024.0,0,0
1990-02-17,0.0,0.0,68286.0,0,0
1990-02-18,0.0,0.0,49676.0,0,0
1990-02-19,1.0,0.0,49985.0,0,0
1990-02-20,1.0,0.0,42805.0,0,0
1990-02-21,0.0,0.0,69170.0,0,0
1990-02-22,0.0,0.0,0.0,1,0
1990-02-23,1.0,0.0,41603.0,0,0
1990-02-24,0.0,0.0,57751.0,0,0
1990-02-25,1.0,0.0,34203.0,0,0
1990-02-26,1.0,0.0,33828.0,0,0
1990-02-27,1.0,0.0,43707.0,0,0
1990-02-28,0.0,1.0,182987.0,0,0
1990-03-01,1.0,1.0,64631.0,0,0
1990-03-02,1.0,1.0,38678.0,0,0
1990-03-03,1.0,1.0,66346.0,0,0
1990-03-04,0.0,1.0,66898.0,0,0
1990-03-05,0.0,0.0,58512.0,0,0
1990-03-06,0.0,0.0,59287.0,0,0
1990-03-07,0.0,0.0,52585.0,0,0
1990-03-08,0.0,0.0,0.0,1,0
1990-03-09,0.0,0.0,51019.0,0,0
1990-03-10,0.0,0.0,59685.0,0,0
1990-03-11,0.0,0.0,61867.0,0,0
1990-03-12,0.0,0.0,55672.0,0,0
1990-03-13,0.0,0.0,58511.0,0,0
1990-03-14,0.0,0.0,55632.0,0,0
1990-03-15,0.0,0.0,0.0,1,0
1990-03-16,0.0,0.0,58161.0,0,0
1990-03-17,0.0,0.0,58665.0,0,0
1990-03-18,1.0,0.0,23122.0,0,0
1990-03-19,0.0,0.0,52484.0,0,0
1990-03-20,0.0,0.0,56969.0,0,0
1990-03-21,0.0,0.0,54045.0,0,1
1990-03-22,0.0,0.0,0.0,1,0
1990-03-23,0.0,0.0,61175.0,0,0
1990-03-24,0.0,0.0,49856.0,0,0
1990-03-25,0.0,0.0,48295.0,0,0
1990-03-26,0.0,0.0,43892.0,0,0
1990-03-27,0.0,0.0,58992.0,0,0
1990-03-28,0.0,1.0,161975.0,0,0
1990-03-29,1.0,1.0,48999.0,0,0
1990-03-30,0.0,1.0,76246.0,0,0
1990-03-31,1.0,1.0,41819.0,0,0
1990-04-01,0.0,1.0,93858.0,0,0
1990-04-02,0.0,1.0,61807.0,0,0
1990-04-03,0.0,1.0,64332.0,0,0
1990-04-04,1.0,1.0,39134.0,0,0
1990-04-05,0.0,0.0,0.0,1,0
1990-04-06,0.0,0.0,78960.0,0,0
1990-04-07,0.0,0.0,67028.0,0,0
1990-04-08,1.0,0.0,60198.0,0,0
1990-04-09,0.0,0.0,67992.0,0,0
1990-04-10,0.0,0.0,74499.0,0,0
1990-04-11,0.0,0.0,80239.0,0,0
1990-04-12,0.0,0.0,0.0,1,0
1990-04-13,1.0,0.0,51595.0,0,0
1990-04-14,0.0,0.0,83218.0,0,0
1990-04-15,1.0,0.0,67079.0,0,0
1990-04-16,1.0,0.0,44477.0,0,0
1990-04-17,1.0,0.0,54914.0,0,0
1990-04-18,1.0,0.0,71808.0,0,0
1990-04-19,0.0,0.0,0.0,1,0
1990-04-20,1.0,0.0,52286.0,0,0
1990-04-21,1.0,0.0,38745.0,0,0
1990-04-22,1.0,0.0,60137.0,0,0
1990-04-23,1.0,0.0,72208.0,0,0
1990-04-24,0.0,1.0,342557.0,0,0
1990-04-25,0.0,1.0,386720.0,0,0
1990-04-26,0.0,1.0,196506.0,0,0
1990-04-27,0.0,1.0,176156.0,0,0
1990-04-28,0.0,1.0,207145.0,0,0
1990-04-29,1.0,0.0,57801.0,0,1
1990-04-30,0.0,0.0,69018.0,0,1
1990-05-01,0.0,0.0,62126.0,0,0
1990-05-02,0.0,0.0,59421.0,0,0
1990-05-03,0.0,0.0,0.0,1,1
1990-05-04,1.0,0.0,45038.0,0,1
1990-05-05,1.0,0.0,50030.0,0,1
1990-05-06,0.0,0.0,63903.0,0,0
1990-05-07,1.0,0.0,49063.0,0,0
1990-05-08,0.0,0.0,89389.0,0,0
1990-05-09,0.0,0.0,75061.0,0,0
1990-05-10,0.0,0.0,0.0,1,0
1990-05-11,1.0,0.0,82596.0,0,0
1990-05-12,0.0,0.0,78603.0,0,0
1990-05-13,0.0,0.0,77582.0,0,0
1990-05-14,1.0,0.0,54009.0,0,0
1990-05-15,0.0,0.0,70260.0,0,0
1990-05-16,0.0,0.0,60670.0,0,0
1990-05-17,0.0,0.0,62646.0,0,0
1990-05-18,0.0,0.0,60324.0,0,0
1990-05-19,1.0,0.0,68452.0,0,0
1990-05-20,0.0,0.0,105576.0,0,0
1990-05-21,1.0,0.0,51577.0,0,0
1990-05-22,0.0,0.0,75720.0,0,0
1990-05-23,0.0,0.0,95031.0,0,0
1990-05-24,0.0,0.0,0.0,1,0
1990-05-25,1.0,0.0,61726.0,0,0
1990-05-26,0.0,0.0,123419.0,0,0
1990-05-27,0.0,0.0,109200.0,0,0
1990-05-28,0.0,0.0,82329.0,0,0
1990-05-29,0.0,0.0,84771.0,0,0
1990-05-30,0.0,1.0,170670.0,0,0
1990-05-31,0.0,1.0,114068.0,0,0
1990-06-01,1.0,1.0,96137.0,0,0
1990-06-02,1.0,1.0,107481.0,0,0
1990-06-03,0.0,1.0,97488.0,0,0
1990-06-04,0.0,0.0,70624.0,0,0
1990-06-05,1.0,0.0,52687.0,0,0
1990-06-06,0.0,0.0,86305.0,0,0
1990-06-07,0.0,0.0,0.0,1,0
1990-06-08,0.0,0.0,75328.0,0,0
1990-06-09,1.0,0.0,47037.0,0,0
1990-06-10,0.0,0.0,79659.0,0,0
1990-06-11,0.0,0.0,86145.0,0,0
1990-06-12,1.0,0.0,70209.0,0,0
1990-06-13,0.0,0.0,91911.0,0,0
1990-06-14,0.0,0.0,0.0,1,0
1990-06-15,0.0,0.0,72366.0,0,0
1990-06-16,1.0,0.0,94422.0,0,0
1990-06-17,0.0,0.0,92362.0,0,0
1990-06-18,0.0,0.0,87734.0,0,0
1990-06-19,0.0,0.0,81757.0,0,0
1990-06-20,1.0,0.0,53518.0,0,0
1990-06-21,0.0,0.0,0.0,1,0
1990-06-22,0.0,0.0,83101.0,0,0
1990-06-23,0.0,0.0,104693.0,0,0
1990-06-24,0.0,0.0,91715.0,0,0
1990-06-25,0.0,0.0,70159.0,0,0
1990-06-26,1.0,0.0,63696.0,0,0
1990-06-27,0.0,1.0,155069.0,0,0
1990-06-28,0.0,1.0,145646.0,0,0
1990-06-29,0.0,1.0,97159.0,0,0
1990-06-30,0.0,1.0,106605.0,0,0
1990-07-01,0.0,1.0,120126.0,0,0
1990-07-02,0.0,0.0,74690.0,0,0
1990-07-03,1.0,0.0,44348.0,0,0
1990-07-04,1.0,0.0,59184.0,0,0
1990-07-05,0.0,0.0,0.0,1,0
1990-07-06,0.0,0.0,108193.0,0,0
1990-07-07,0.0,0.0,101239.0,0,0
1990-07-08,0.0,0.0,89802.0,0,0
1990-07-09,1.0,0.0,71635.0,0,0
1990-07-10,1.0,0.0,54625.0,0,0
1990-07-11,0.0,0.0,81549.0,0,0
1990-07-12,1.0,0.0,46053.0,0,0
1990-07-13,1.0,0.0,80029.0,0,0
1990-07-14,0.0,0.0,80762.0,0,0
1990-07-15,1.0,0.0,70096.0,0,0
1990-07-16,0.0,0.0,72792.0,0,0
1990-07-17,0.0,0.0,89499.0,0,0
1990-07-18,0.0,1.0,186632.0,0,0
1990-07-19,0.0,1.0,146583.0,0,0
1990-07-20,0.0,1.0,97694.0,0,0
1990-07-21,0.0,1.0,118178.0,0,0
1990-07-22,0.0,1.0,94979.0,0,0
1990-07-23,0.0,0.0,63578.0,0,0
1990-07-24,0.0,0.0,76834.0,0,0
1990-07-25,0.0,0.0,72260.0,0,0
1990-07-26,0.0,0.0,88445.0,0,0
1990-07-27,0.0,1.0,203826.0,0,0
1990-07-28,0.0,1.0,132636.0,0,0
1990-07-29,0.0,1.0,102074.0,0,0
1990-07-30,0.0,0.0,83044.0,0,0
1990-07-31,0.0,0.0,80814.0,0,0
1990-08-01,0.0,0.0,87931.0,0,0
1990-08-02,0.0,0.0,89185.0,0,0
1990-08-03,0.0,0.0,96958.0,0,0
1990-08-04,0.0,0.0,70258.0,0,0
1990-08-05,1.0,0.0,86413.0,0,0
1990-08-06,0.0,0.0,73817.0,0,0
1990-08-07,0.0,1.0,160469.0,0,0
1990-08-08,0.0,1.0,111899.0,0,0
1990-08-09,1.0,1.0,60914.0,0,0
1990-08-10,1.0,1.0,25146.0,0,0
1990-08-11,0.0,1.0,134395.0,0,0
1990-08-12,0.0,1.0,99291.0,0,0
1990-08-13,0.0,1.0,73752.0,0,0
1990-08-14,0.0,1.0,62270.0,0,0
1990-08-15,0.0,1.0,67283.0,0,0
1990-08-16,0.0,0.0,0.0,1,0
1990-08-17,0.0,0.0,0.0,1,0
1990-08-18,0.0,0.0,0.0,1,0
1990-08-19,0.0,0.0,0.0,1,0
1990-08-20,0.0,0.0,0.0,1,0
1990-08-21,0.0,0.0,0.0,1,0
1990-08-22,0.0,0.0,0.0,1,0
1990-08-23,0.0,0.0,52599.0,0,0
1990-08-24,0.0,0.0,59603.0,0,0
1990-08-25,0.0,0.0,70030.0,0,0
1990-08-26,0.0,0.0,74780.0,0,0
1990-08-27,0.0,0.0,58384.0,0,0
1990-08-28,1.0,0.0,58120.0,0,0
1990-08-29,1.0,0.0,52895.0,0,0
1990-08-30,0.0,0.0,65095.0,0,0
1990-08-31,0.0,0.0,57100.0,0,0
1990-09-01,0.0,0.0,57269.0,0,0
1990-09-02,1.0,0.0,68332.0,0,0
1990-09-03,0.0,0.0,54762.0,0,0
1990-09-04,0.0,0.0,67867.0,0,0
1990-09-05,0.0,0.0,67006.0,0,0
1990-09-06,0.0,0.0,0.0,1,0
1990-09-07,0.0,0.0,57019.0,0,0
1990-09-08,0.0,0.0,80692.0,0,0
1990-09-09,0.0,0.0,87691.0,0,0
1990-09-10,0.0,0.0,57418.0,0,0
1990-09-11,0.0,0.0,60385.0,0,0
1990-09-12,0.0,0.0,69960.0,0,0
1990-09-13,0.0,0.0,0.0,1,0
1990-09-14,1.0,0.0,54349.0,0,0
1990-09-15,1.0,0.0,50146.0,0,1
1990-09-16,1.0,0.0,75958.0,0,0
1990-09-17,1.0,0.0,59946.0,0,0
1990-09-18,0.0,0.0,53606.0,0,0
1990-09-19,1.0,0.0,55529.0,0,0
1990-09-20,0.0,0.0,0.0,1,0
1990-09-21,0.0,0.0,63835.0,0,0
1990-09-22,0.0,0.0,67562.0,0,0
1990-09-23,0.0,0.0,65597.0,0,1
1990-09-24,0.0,0.0,58539.0,0,1
1990-09-25,1.0,0.0,45572.0,0,0
1990-09-26,1.0,1.0,81413.0,0,0
1990-09-27,0.0,1.0,272824.0,0,0
1990-09-28,0.0,1.0,107176.0,0,0
1990-09-29,0.0,1.0,103028.0,0,0
1990-09-30,1.0,1.0,128858.0,0,0
1990-10-01,0.0,0.0,107013.0,0,0
1990-10-02,0.0,0.0,74180.0,0,0
1990-10-03,0.0,0.0,63176.0,0,0
1990-10-04,0.0,0.0,0.0,1,0
1990-10-05,0.0,0.0,67470.0,0,0
1990-10-06,0.0,0.0,75890.0,0,0
1990-10-07,1.0,0.0,47864.0,0,0
1990-10-08,1.0,0.0,48561.0,0,0
1990-10-09,0.0,0.0,82334.0,0,0
1990-10-10,0.0,0.0,81271.0,0,1
1990-10-11,0.0,0.0,0.0,1,0
1990-10-12,0.0,0.0,88658.0,0,0
1990-10-13,1.0,0.0,57248.0,0,0
1990-10-14,0.0,0.0,87919.0,0,0
1990-10-15,1.0,0.0,48578.0,0,0
1990-10-16,0.0,0.0,72606.0,0,0
1990-10-17,0.0,0.0,72881.0,0,0
1990-10-18,0.0,0.0,0.0,1,0
1990-10-19,0.0,0.0,65330.0,0,0
1990-10-20,0.0,0.0,68324.0,0,0
1990-10-21,0.0,0.0,73733.0,0,0
1990-10-22,0.0,1.0,69536.0,0,0
1990-10-23,0.0,1.0,302376.0,0,0
1990-10-24,0.0,1.0,188021.0,0,0
1990-10-25,0.0,1.0,118971.0,0,0
1990-10-26,0.0,1.0,138062.0,0,0
1990-10-27,0.0,1.0,126079.0,0,0
1990-10-28,0.0,0.0,76103.0,0,0
1990-10-29,0.0,0.0,66818.0,0,0
1990-10-30,1.0,0.0,32350.0,0,0
1990-10-31,0.0,0.0,56220.0,0,0
1990-11-01,0.0,0.0,0.0,1,0
1990-11-02,0.0,0.0,82054.0,0,0
1990-11-03,0.0,0.0,67572.0,0,1
1990-11-04,1.0,0.0,45191.0,0,0
1990-11-05,0.0,0.0,63571.0,0,0
1990-11-06,0.0,0.0,67923.0,0,0
1990-11-07,0.0,0.0,76696.0,0,0
1990-11-08,0.0,0.0,0.0,1,0
1990-11-09,0.0,0.0,65206.0,0,0
1990-11-10,0.0,0.0,68716.0,0,0
1990-11-11,0.0,0.0,78202.0,0,0
1990-11-12,0.0,0.0,90338.0,0,1
1990-11-13,0.0,0.0,60271.0,0,0
1990-11-14,0.0,0.0,74012.0,0,0
1990-11-15,0.0,0.0,56070.0,0,0
1990-11-16,0.0,1.0,183177.0,0,0
1990-11-17,0.0,1.0,142633.0,0,0
1990-11-18,0.0,1.0,92258.0,0,0
1990-11-19,0.0,0.0,76731.0,0,0
1990-11-20,1.0,0.0,52269.0,0,0
1990-11-21,0.0,0.0,80561.0,0,0
1990-11-22,0.0,0.0,0.0,1,0
1990-11-23,0.0,0.0,97565.0,0,1
1990-11-24,0.0,0.0,78935.0,0,0
1990-11-25,0.0,0.0,85343.0,0,0
1990-11-26,0.0,0.0,74677.0,0,0
1990-11-27,0.0,1.0,164350.0,0,0
1990-11-28,1.0,1.0,36764.0,0,0
1990-11-29,1.0,1.0,52036.0,0,0
1990-11-30,1.0,0.0,38819.0,0,0
1990-12-01,0.0,0.0,100891.0,0,0
1990-12-02,0.0,0.0,70251.0,0,0
1990-12-03,0.0,0.0,59594.0,0,0
1990-12-04,0.0,0.0,78824.0,0,0
1990-12-05,0.0,0.0,98955.0,0,0
1990-12-06,0.0,0.0,0.0,1,0
1990-12-07,0.0,0.0,83897.0,0,0
1990-12-08,0.0,0.0,92719.0,0,0
1990-12-09,1.0,0.0,62572.0,0,0
1990-12-10,0.0,0.0,93392.0,0,0
1990-12-11,1.0,0.0,84656.0,0,0
1990-12-12,0.0,0.0,78125.0,0,0
1990-12-13,0.0,1.0,106491.0,0,0
1990-12-14,0.0,1.0,102343.0,0,0
1990-12-15,0.0,1.0,115994.0,0,0
1990-12-16,0.0,1.0,100046.0,0,0
1990-12-17,0.0,0.0,73162.0,0,0
1990-12-18,0.0,0.0,65307.0,0,0
1990-12-19,0.0,0.0,73463.0,0,0
